Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Bhutan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018/19 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: July/June Base year: 2000/01. Nominal and real GDP are not measured in the same way and as a result, the GDP deflator is not equal to 100. Chain-weighted: No",5.524,5.929,6.434,6.969,7.406,7.937,8.2,8.6,2019
Bolivia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No,70.562,74.76,78.754,83.604,89.258,93.357,91.225,95.701,2018
Bosnia and Herzegovina,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000",39.293,40.922,42.675,44.833,47.59,49.727,47.54,50.164,2018
Botswana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No,35.684,35.444,37.352,39.16,41.911,43.907,41.809,45.514,2018
Brazil,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No,"3,315.85","3,231.41","3,157.63","3,259.36","3,382.59","3,480.55","3,316.92","3,479.34",2019
Brunei Darussalam,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Department of Economic Planning and Development, Prime Minister's office. Latest actual data: 2019. Latest observation 2019Q4 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No",33.035,33.244,32.76,33.82,34.662,36.631,37.342,39.418,2019
Bulgaria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996",132.426,139.143,145.942,153.904,162.516,170.925,165.13,178.518,2019
Burkina Faso,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office. The ministry of economy also provides estimates Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No,33.066,34.72,37.17,40.202,43.99,47.303,48.553,52.373,2018
Burundi,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2015. No official national accounts data have been published since 1998. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No,8.088,7.856,7.888,8.08,8.413,8.711,8.281,8.798,2015
Cabo Verde,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 Notes: The national accounts data have been revised from 2002 onward. The new data are obtained through a new computation methodology that uses an updated input-output table. The base year for the constant prices data is 2007. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2011",3.296,3.364,3.559,3.76,4.047,4.343,4.194,4.511,2018
Cambodia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000. The GDP deflator data from the authorities do not equal 100 in the base period Chain-weighted: No,50.395,54.502,58.846,64.149,70.662,76.959,76.218,82.41,2018
Cameroon,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No,75.086,80.155,84.75,89.41,95.309,100.604,100.013,106.093,2018
Canada,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1980","1,615.39","1,642.97","1,676.60","1,762.34","1,841.63","1,904.39","1,797.17","1,910.00",2019
Central African Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No,3.172,3.344,3.539,3.769,4.008,4.199,4.27,4.527,2017
Chad,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: Central Bank Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993. Unknown GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No,29.789,30.632,29.229,29.071,30.465,31.913,32.065,34.674,2017
Chile,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Central Bank Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: Yes, from 2003",412.747,426.718,438.525,452.03,481.282,495.176,475.964,510.835,2019
China,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2019. Latest actual data for real GDP and expenditure breakdown is 2019. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Authorities publish production-based measure; staff estimates expenditure-based measures. Start/end months of reporting year: January/December Base year: 2015. For the national account real, we are using 2015 as base year Chain-weighted: No","18,205.30","19,664.07","21,228.38","23,130.72","25,293.58","27,306.98","27,804.95","30,956.73",2019
Colombia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993. Fifth Manual GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015. DANE (Colombia Institute of Statistics) has done a rebasing of the national accounts (now base year is 2015 and before 2005). Data with the new base is ONLY AVAILABLE FROM 2005. The change also includes methodological changes (for example, direct estimation of private consumption based on a survey) and most important, change in the index formulae (historically a Laspeyres fixed-base index and now a Laspeyres chain index). The main implications are that the 2005 and 2015 series are not comparable and the chain index is associated with non-additivity of the components. Chain-weighted: Yes, from 2005",642.432,668.307,689.322,711.851,747.536,785.836,771.957,816.482,2019
Comoros,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Planning Commissariat Latest actual data: 2018 National accounts manual used: Other GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2007",2.025,2.072,2.166,2.299,2.441,2.53,2.516,2.645,2018
Democratic Republic of the Congo,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 Notes: Data prior to 2001 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No,61.155,66.065,68.351,72.234,78.297,83.151,81.806,86.355,2018
Republic of Congo,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No,29.206,30.283,29.731,29.754,30.964,31.219,30.702,32.375,2017
Costa Rica,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: Central Bank Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No,72.224,75.627,79.654,84.287,88.637,92.062,89.597,94.058,2018
Côte d'Ivoire,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015. The authorities' rebasing exercise to 2015 is ongoing Chain-weighted: No,102.126,112.314,121.624,133.034,145.533,158.288,163.594,181.294,2017
Croatia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. By the former Central Bureau of Statistics of the Republic of Croatia (CroStat), now the Croatian Bureau of Statistics (CBS, www.dzs.hr). Latest actual data: 2019 Notes: The authorities produce data from 1995 only; Earlier data for the GDP and its components result from splicing.  The GDP estimates include all economic activities within the ESA 2010 production boundary, covering both registered and unregistered activities. In addition to the unregistered activities covered since the implementation of ESA 1995 in 2009, since September 2014 CBS is also covering data on illegal activities  within ESA 2010. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices. Gross domestic product (GDP) by expenditure approach is valued at market prices and gross value added (GVA) by production approach is valued at basic prices. Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No",89.908,93.057,97.296,102.24,107.554,112.623,103.111,110.323,2019
Cyprus,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Eurostat Latest actual data: 2019 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995",27.528,28.754,31.011,32.973,35.147,36.915,34.745,37.404,2019
Czech Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995",320.787,341.335,353.321,375.643,395.747,412.978,388.587,425.879,2019
Denmark,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1980",260.803,269.693,281.334,292.47,306.755,319.491,300.621,324.872,2019
Djibouti,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No,4.093,4.453,4.799,5.153,5.723,6.259,6.362,7.037,2018
Dominica,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No,0.788,0.776,0.804,0.741,0.763,0.848,0.813,0.858,2018
Dominican Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Central Bank Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2007",137.092,147.535,159.471,170.147,186.519,199.395,198.725,210.703,2018
Ecuador,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: Central Bank Latest actual data: 2019 Notes: The national accounts have been updated from 2002 onwards. Prior to 2002 the data are adjusted to produce smooth series with the use of splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No,183.119,185.209,184.832,192.772,200.015,203.611,192.056,203.363,2019
Egypt,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Ministry of Economy and/or Planning. Ministry of Planning Latest actual data: 2018/19 Notes: Data prior to 1987 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008. From 2001/2002, the structure, concepts, definitions, and classifications follow the 1993 System and part of 2008 of National Accounts GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: July/June Base year: 2016/17 Chain-weighted: No","1,018.55","1,074.15","1,132.45","1,200.81","1,295.43","1,391.27","1,427.43","1,496.43",2019
El Salvador,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: Central Bank Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No,45.535,47.111,48.809,50.849,53.353,55.578,52.888,56.324,2019
Equatorial Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Ministry of Economy and/or Planning. Ministry of Economy, Planning, and Public Investment, and Banque des Etats de l'Afrique Centrale (Central Bank) Latest actual data: 2017 Notes: Since 2006, IMF staff have estimated real GDP growth from hydrocarbon production and investment data and the government expenditure. The national authorities are considering the adoption of the IMF staff estimates. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No",37.629,34.557,31.836,30.598,29.525,28.208,26.828,27.968,2017
Eritrea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: IMF Staff Estimates Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2011 Chain-weighted: No,6.753,5.416,5.877,5.388,6.238,6.591,6.64,7.165,2018
Estonia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: Data from 2003 onwards reflect methodological revisions. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2010",36.504,37.564,38.952,41.967,45.036,47.807,44.503,48.943,2019
Eswatini,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Updated methodology has been applied to the series. Prior to 2000, the data are adjusted using previous historical data as proxies to produce smooth series with the use of splicing technique. Historical data are updated on a continual basis as more information becomes available. Prior to 1990, trade data are calculated from external sector statistics. Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2011 Chain-weighted: No",10.47,10.824,11.075,11.512,12.069,12.407,12.368,12.837,2018
Ethiopia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018/19 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs. Data refer to fiscal years (July/June). Data for 2011 represent fiscal year 2010/11. Start/end months of reporting year: July/June Base year: 2015/16 Chain-weighted: No,145.726,162.557,177.379,199.171,219.739,243.618,253.102,269.22,2019
Fiji,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office. Fiji Islands Bureau of Statistics Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No,8.334,8.813,9.128,9.804,10.397,10.631,10.078,10.994,2018
Finland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2018 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1980",224.471,228.041,236.647,248.58,258.786,265.879,251.431,264.27,2018
France,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 1980","2,621.91","2,678.69","2,736.08","2,850.61","2,970.43","3,061.82","2,860.02","3,046.13",2018
Gabon,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: No,33.044,34.683,35.775,36.631,37.84,39.81,39.584,41.795,2018
The Gambia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No,4.711,4.954,5.102,5.449,5.947,6.412,6.614,7.18,2018
Georgia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 Notes: Data prior to 1996 cannot be confirmed by national sources. Data prior to 2010 are based on staff estimates. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996",36.07,37.547,39.038,41.699,44.784,47.91,46.286,48.605,2018
Germany,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: Data until 1990 refers to German federation only (West Germany). National accounts data until 1990 do not include FISIM. Data from 1991 refer to United Germany and include FISIM. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1991. From 1991.","3,767.35","3,872.88","4,000.24","4,176.04","4,342.91","4,443.57","4,160.93","4,460.55",2019
Ghana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No,146.585,151.337,158.176,174.279,189.707,204.813,209.179,225.771,2018
Greece,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Formally, the National Statistical Office (ELSTAT) Latest actual data: 2019. For quarterly data, latest actual is 2019Q4. Notes: The National Statistical Office has significantly and repeatedly revised national accounts data over the course of the past several years. Official data are only available from 1995. Data prior to 1995 came from European Commission Macro Forecasts (AMECO database). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995",285.051,286.758,289.175,299.055,312.267,323.653,293.009,313.849,2019
Grenada,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.  GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No,1.352,1.455,1.525,1.622,1.731,1.816,1.681,1.819,2018
